pf_name,pl_name,team_name,pass_att,pass_comp,comp_pct,pass_yds,pass_ypg,pass_td,pass_int,rush_att,rush_yds,rush_avg,rush_ypg,rush_td,rec,rec_yds,rec_avg,rec_ypg,rec_td,tar,yac
C.J.,Ham,MIN,0,0,0,0,0,0,0,2,6,3,0.7,1,3,21,7,2.3,0,5,26
C.J.,Moore,DET,0,0,0,0,0,0,0,1,13,13,4.3,0,0,0,0,0,0,0,0
C.J.,Uzomah,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,10,82,8.2,10.2,0,11,59
Cade,Otton,TB,0,0,0,0,0,0,0,0,0,0,0,0,26,281,10.81,31.2,1,35,118
Caleb,Huntley,ATL,0,0,0,0,0,0,0,69,331,4.8,41.4,1,0,0,0,0,0,0,0
Cam,Akers,LA,0,0,0,0,0,0,0,62,176,2.84,25.1,1,2,18,9,2.6,0,6,18
Cam,Sims,WAS,0,0,0,0,0,0,0,0,0,0,0,0,5,58,11.6,5.8,0,13,19
Cameron,Brate,TB,0,0,0,0,0,0,0,0,0,0,0,0,14,122,8.71,20.3,0,24,40
Carson,Wentz,WAS,232,144,62.1,1489,6.4,10,6,19,79,4.16,13.2,0,0,0,0,0,0,0,0
Case,Keenum,BUF,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Cedrick,Wilson,MIA,0,0,0,0,0,0,0,1,8,8,0.9,0,7,70,10,7.8,0,11,36
CeeDee,Lamb,DAL,0,0,0,0,0,0,0,5,12,2.4,1.3,0,53,706,13.32,78.4,5,88,238
Chad,Henne,KC,0,0,0,0,0,0,0,3,-3,-1,-1.5,0,0,0,0,0,0,0,0
